58,1,4,3.5,5,4,3,5
58,7,4,4.5,2,5,4.5,5
58,8,3,2.5,3,3.5,4,4
58,9,4,2.5,3,4,3.5,4
58,11,4,2.5,3,4,3,5
58,12,3,4.5,4.5,4,4.5,5
58,13,4,5,4.5,4,4.5,3
58,20,4,3.5,3.5,4,4,1
58,25,5,4,2,5,4,4
58,32,5,5,3,4,4,5
58,42,5,4,2,4,1,4
58,45,2,4,3,3,2.33,5
58,50,4,2.5,4.5,2,4,4
58,56,5,1,3,1,3,5
58,61,2.61,3.3,3.65,3.7,3.48,5
58,64,4,2.5,3,1.5,4,5
58,69,5,3,4,3,4,1
58,70,3,5,4,3,4,4
58,89,3.5,4,3,3.38,4,3
58,98,2,3,5,3,2,4
58,100,5,4,4.5,4.5,4.5,5
58,109,5,3.6,3.2,4.8,3.2,4
58,111,4,3.71,4.57,3.14,4,4
58,116,4,4.5,1.5,3.5,3,5
58,120,5,3,3.67,3.67,4.33,2
58,121,4,4,1,3,3,2
58,123,5,4.33,3,3.67,4.67,4
58,124,5,4,1.5,3,2.5,5
58,127,4,5,4,3.5,4,4
58,134,5,5,4,4,4,5
58,135,5,4.33,2,3.33,3.67,4
58,137,4,4,2,3,4,5
58,144,4,3.33,3.33,3.67,4.33,4
58,150,4,2.75,5,2.5,2.75,4
58,151,2,3,5,4,3,3
58,153,4,4,4,2,2,5
58,156,5,4.5,4,4.5,4.5,5
58,168,3,4,2,3,1,5
58,169,4,5,4,2,3,4
58,171,4,4,4.5,3.5,3,5
58,172,5,4.5,4.5,3,3.5,5
58,173,3,4,3,2.67,3.33,5
58,174,3,4.33,3.33,3.33,4,4
58,175,5,4.5,3,5,4,5
58,176,3,2,2,4.33,3,4
58,181,4,3,4.5,3.5,2.5,3
58,182,4,3.83,4,3.33,3.5,4
58,185,5,4,4,5,5,2
58,189,4,3.75,3.75,3.75,3.75,3
58,191,5,4,2,3.5,3,5
58,193,3,3.67,2.33,4,3.33,3
58,194,5,4,5,3,4,3
58,195,5,3,2.5,3.25,4,4
58,198,4,3,2,3,4.5,3
58,199,5,4.33,3.67,2,2.33,4
58,200,4,2.5,2,5,3.5,3
58,203,4,3.5,4,2.5,3.5,5
58,204,1,5,4,2.5,5,4
58,209,3.07,4.2,4,3.6,3.07,5
58,210,2,3.83,3.17,3.67,4,4
58,213,4.35,2.95,3.15,3.25,2.8,5
58,214,5,3.33,4,2.67,3.33,2
58,216,5,2,5,5,2.5,3
58,222,3,3,5,4,4,4
58,223,4,2,4,3.5,3,5
58,228,4,3.25,4.25,3.5,2,5
58,237,3,3.33,3,4,3.33,4
58,238,3,5,4,3,4,5
58,240,5,2.67,4.67,3,4,4
58,246,5,3,3,4.5,4,5
58,248,4.14,3.86,2.71,3.57,3.43,4
58,249,5,3,3,2.67,4.33,4
58,253,4,3,5,4,3,4
