166,5,4,4.5,3,3.5,3,4
166,33,1,4,2.33,3.33,3.67,1
166,35,5,5,3,3,5,3
166,41,4,3.33,3.33,3,4,3
166,47,5,2.5,2.5,2.5,2,5
166,60,5,4,4.5,3.5,3,5
166,62,5,2.5,5,4.5,4,3
166,69,5,3,4,3,4,5
166,70,3,5,4,3,4,5
166,75,5,3,3.33,3.67,2.33,5
166,90,2.83,3.3,3.33,3.93,3.33,4
166,93,2,3.33,4.67,1.67,3.67,1
166,94,4,1,3,3,5,5
166,135,5,4.33,2,3.33,3.67,4
166,181,4,3,4.5,3.5,2.5,1
166,182,4,3.83,4,3.33,3.5,3
166,225,4.43,4.29,3.71,3.29,3.43,5
166,242,5,2.33,4.67,3.33,2.67,2
166,243,5,2,2.5,3,2,3
166,245,5,2,4,3,4,4
